algorithm	dataset	psi	beta	purity
IKSHC	seeds	13	0.800000	0.816737
IKSHC	seeds	13	0.900000	0.840943
IKSHC	seeds	15	0.400000	0.828570
IKSHC	seeds	15	0.500000	0.831592
IKSHC	seeds	15	0.600000	0.846420
IKSHC	seeds	15	0.700000	0.803611
IKSHC	seeds	15	0.800000	0.841283
IKSHC	seeds	15	0.900000	0.829191
IKSHC	seeds	17	0.400000	0.842851
IKSHC	seeds	17	0.500000	0.840379
IKSHC	seeds	17	0.600000	0.826690
IKSHC	seeds	17	0.700000	0.835328
IKSHC	seeds	17	0.800000	0.790151
IKSHC	seeds	17	0.900000	0.881084
IKSHC	seeds	21	0.400000	0.812602
IKSHC	seeds	21	0.500000	0.807341
IKSHC	seeds	21	0.600000	0.839659
IKSHC	seeds	21	0.700000	0.792494
IKSHC	seeds	21	0.800000	0.819179
IKSHC	seeds	21	0.900000	0.816580
IKSHC	seeds	25	0.400000	0.867219
IKSHC	seeds	25	0.500000	0.877468
IKSHC	seeds	25	0.600000	0.750334
IKSHC	seeds	25	0.700000	0.858979
IKSHC	seeds	25	0.800000	0.814888
IKSHC	seeds	25	0.900000	0.789196
IKSHC	seeds	3	0.400000	0.782375
IKSHC	seeds	3	0.500000	0.840555
IKSHC	seeds	3	0.600000	0.794161
IKSHC	seeds	3	0.700000	0.810896
IKSHC	seeds	3	0.800000	0.828475
IKSHC	seeds	3	0.900000	0.855187
IKSHC	seeds	5	0.400000	0.781944
IKSHC	seeds	5	0.500000	0.832336
IKSHC	seeds	5	0.600000	0.834921
IKSHC	seeds	5	0.700000	0.841514
IKSHC	seeds	5	0.800000	0.847796
IKSHC	seeds	5	0.900000	0.834013
IKSHC	seeds	7	0.400000	0.803572
IKSHC	seeds	7	0.500000	0.830662
IKSHC	seeds	7	0.600000	0.856569
IKSHC	seeds	7	0.700000	0.813978
IKSHC	seeds	7	0.800000	0.845933
IKSHC	seeds	7	0.900000	0.832722
IKSHC	seeds	13	0.400000	0.791529
IKSHC	seeds	13	0.500000	0.803193
IKSHC	seeds	13	0.600000	0.826989
IKSHC	seeds	13	0.700000	0.788979
IKSHC	seeds	13	0.800000	0.761583
IKSHC	seeds	13	0.900000	0.746889
IKSHC	seeds	15	0.400000	0.784227
IKSHC	seeds	15	0.500000	0.787918
IKSHC	seeds	15	0.600000	0.702004
IKSHC	seeds	15	0.700000	0.758214
IKSHC	seeds	15	0.800000	0.659148
IKSHC	seeds	15	0.900000	0.720985
IKSHC	seeds	17	0.400000	0.709202
IKSHC	seeds	17	0.500000	0.694460
IKSHC	seeds	17	0.600000	0.816289
IKSHC	seeds	17	0.700000	0.785278
IKSHC	seeds	17	0.800000	0.780348
IKSHC	seeds	17	0.900000	0.782985
IKSHC	seeds	21	0.400000	0.695482
IKSHC	seeds	21	0.500000	0.765540
IKSHC	seeds	21	0.600000	0.639070
IKSHC	seeds	21	0.700000	0.741158
IKSHC	seeds	21	0.800000	0.756356
IKSHC	seeds	21	0.900000	0.731434
IKSHC	seeds	25	0.400000	0.716567
IKSHC	seeds	25	0.500000	0.758735
IKSHC	seeds	25	0.600000	0.681008
IKSHC	seeds	25	0.700000	0.774976
IKSHC	seeds	25	0.800000	0.736785
IKSHC	seeds	25	0.900000	0.791484
IKSHC	seeds	3	0.400000	0.764486
IKSHC	seeds	3	0.500000	0.792899
IKSHC	seeds	3	0.600000	0.822308
IKSHC	seeds	3	0.700000	0.830384
IKSHC	seeds	3	0.800000	0.796694
IKSHC	seeds	3	0.900000	0.784103
IKSHC	seeds	5	0.400000	0.815301
IKSHC	seeds	5	0.500000	0.741467
IKSHC	seeds	5	0.600000	0.787582
IKSHC	seeds	5	0.700000	0.814882
IKSHC	seeds	5	0.800000	0.819641
IKSHC	seeds	5	0.900000	0.814528
IKSHC	seeds	7	0.400000	0.835062
IKSHC	seeds	7	0.500000	0.847385
IKSHC	seeds	7	0.600000	0.840326
IKSHC	seeds	7	0.700000	0.842087
IKSHC	seeds	7	0.800000	0.849543
IKSHC	seeds	7	0.900000	0.834137
IKSHC	seeds	13	0.400000	0.832366
IKSHC	seeds	13	0.500000	0.860565
