algorithm	dataset	psi	beta	purity
IKSHC	hard1	5	0.700000	0.925194
IKSHC	hard1	5	0.800000	0.906680
IKSHC	hard1	5	0.900000	0.920817
IKSHC	hard1	7	0.400000	0.845665
IKSHC	hard1	7	0.500000	0.932085
IKSHC	hard1	7	0.600000	0.876143
IKSHC	hard1	7	0.700000	0.838627
IKSHC	hard1	7	0.800000	0.929924
IKSHC	hard1	7	0.900000	0.882049
IKSHC	hard1	13	0.400000	0.928689
IKSHC	hard1	13	0.500000	0.933113
IKSHC	hard1	13	0.600000	0.920283
IKSHC	hard1	13	0.700000	0.931338
IKSHC	hard1	13	0.800000	0.939216
IKSHC	hard1	13	0.900000	0.926767
IKSHC	hard1	15	0.400000	0.927240
IKSHC	hard1	15	0.500000	0.920498
IKSHC	hard1	15	0.600000	0.930724
IKSHC	hard1	15	0.700000	0.921540
IKSHC	hard1	15	0.800000	0.925908
IKSHC	hard1	15	0.900000	0.927911
IKSHC	hard1	17	0.400000	0.926516
IKSHC	hard1	17	0.500000	0.924187
IKSHC	hard1	17	0.600000	0.928810
IKSHC	hard1	17	0.700000	0.904809
IKSHC	hard1	17	0.800000	0.915233
IKSHC	hard1	17	0.900000	0.921879
IKSHC	hard1	21	0.400000	0.915720
IKSHC	hard1	21	0.500000	0.921882
IKSHC	hard1	21	0.600000	0.910759
IKSHC	hard1	21	0.700000	0.944456
IKSHC	hard1	21	0.800000	0.938413
IKSHC	hard1	21	0.900000	0.923922
IKSHC	hard1	25	0.400000	0.943276
IKSHC	hard1	25	0.500000	0.947141
IKSHC	hard1	25	0.600000	0.936190
IKSHC	hard1	25	0.700000	0.948589
IKSHC	hard1	25	0.800000	0.949979
IKSHC	hard1	25	0.900000	0.899361
IKSHC	hard1	3	0.400000	0.953454
IKSHC	hard1	3	0.500000	0.944874
IKSHC	hard1	3	0.600000	0.955953
IKSHC	hard1	3	0.700000	0.950587
IKSHC	hard1	3	0.800000	0.945175
IKSHC	hard1	3	0.900000	0.945286
IKSHC	hard1	5	0.400000	0.932940
IKSHC	hard1	5	0.500000	0.942720
IKSHC	hard1	5	0.600000	0.935509
IKSHC	hard1	5	0.700000	0.950991
IKSHC	hard1	5	0.800000	0.947457
IKSHC	hard1	5	0.900000	0.948474
IKSHC	hard1	7	0.400000	0.933817
IKSHC	hard1	7	0.500000	0.946790
IKSHC	hard1	7	0.600000	0.946190
IKSHC	hard1	7	0.700000	0.946732
IKSHC	hard1	7	0.800000	0.944441
IKSHC	hard1	7	0.900000	0.942411
IKSHC	hard1	13	0.400000	0.935944
IKSHC	hard1	13	0.500000	0.953810
IKSHC	hard1	13	0.600000	0.948640
IKSHC	hard1	13	0.700000	0.946652
IKSHC	hard1	13	0.800000	0.944386
IKSHC	hard1	13	0.900000	0.940247
IKSHC	hard1	15	0.400000	0.943667
IKSHC	hard1	15	0.500000	0.944489
IKSHC	hard1	15	0.600000	0.939235
IKSHC	hard1	15	0.700000	0.936568
IKSHC	hard1	15	0.800000	0.951338
IKSHC	hard1	15	0.900000	0.948113
IKSHC	hard1	17	0.400000	0.947131
IKSHC	hard1	17	0.500000	0.941947
IKSHC	hard1	17	0.600000	0.940032
IKSHC	hard1	17	0.700000	0.938952
IKSHC	hard1	17	0.800000	0.934305
IKSHC	hard1	17	0.900000	0.926989
IKSHC	hard1	21	0.400000	0.944235
IKSHC	hard1	21	0.500000	0.948376
IKSHC	hard1	21	0.600000	0.936222
IKSHC	hard1	21	0.700000	0.940495
IKSHC	hard1	21	0.800000	0.942389
IKSHC	hard1	21	0.900000	0.942491
IKSHC	hard1	25	0.400000	0.939861
IKSHC	hard1	25	0.500000	0.949166
IKSHC	hard1	25	0.600000	0.933927
IKSHC	hard1	25	0.700000	0.934458
IKSHC	hard1	25	0.800000	0.948226
IKSHC	hard1	25	0.900000	0.950570
IKSHC	hard1	3	0.400000	0.959196
IKSHC	hard1	3	0.500000	0.947489
IKSHC	hard1	3	0.600000	0.956994
IKSHC	hard1	3	0.700000	0.959009
IKSHC	hard1	3	0.800000	0.956120
IKSHC	hard1	3	0.900000	0.964744
IKSHC	hard1	5	0.400000	0.948231
IKSHC	hard1	5	0.500000	0.941766
IKSHC	hard1	5	0.600000	0.936427
IKSHC	hard1	5	0.700000	0.953932
IKSHC	hard1	5	0.800000	0.936262
IKSHC	hard1	5	0.900000	0.952251
IKSHC	hard1	7	0.400000	0.946429
IKSHC	hard1	7	0.500000	0.934146
IKSHC	hard1	7	0.600000	0.932777
IKSHC	hard1	7	0.700000	0.940253
IKSHC	hard1	7	0.800000	0.935528
IKSHC	hard1	7	0.900000	0.939566
IKSHC	hard1	13	0.400000	0.901888
IKSHC	hard1	13	0.500000	0.930075
IKSHC	hard1	13	0.600000	0.924747
IKSHC	hard1	13	0.700000	0.902567
IKSHC	hard1	13	0.800000	0.921313
IKSHC	hard1	13	0.900000	0.937709
IKSHC	hard1	15	0.400000	0.894226
IKSHC	hard1	15	0.500000	0.912976
IKSHC	hard1	15	0.600000	0.901695
IKSHC	hard1	15	0.700000	0.897787
IKSHC	hard1	15	0.800000	0.911750
IKSHC	hard1	15	0.900000	0.930970
IKSHC	hard1	17	0.400000	0.899047
IKSHC	hard1	17	0.500000	0.912407
IKSHC	hard1	17	0.600000	0.918565
IKSHC	hard1	17	0.700000	0.905783
IKSHC	hard1	17	0.800000	0.933779
IKSHC	hard1	17	0.900000	0.905647
IKSHC	hard1	21	0.400000	0.904560
IKSHC	hard1	21	0.500000	0.873817
IKSHC	hard1	21	0.600000	0.907350
IKSHC	hard1	21	0.700000	0.879579
IKSHC	hard1	21	0.800000	0.891132
IKSHC	hard1	21	0.900000	0.884804
IKSHC	hard1	25	0.400000	0.881140
IKSHC	hard1	25	0.500000	0.897288
IKSHC	hard1	25	0.600000	0.868053
IKSHC	hard1	25	0.700000	0.891003
IKSHC	hard1	25	0.800000	0.813338
IKSHC	hard1	25	0.900000	0.871332
